Civilite*,Nom*,Prénom*,Nom de la société*,SIRET,Catégorie de tiers*,Nature juridique*,Adresse,Complément,Code postal *,Commune *,Pays *,Téléphone *,Téléphone 2,Mail *,Nom *,SIRET,Nature d'hébergement *,Référence interne,Catégorie (Atout France)*,Date de la catégorie *,Date d'application de la catégorie *,Date de début de collecte sur la plateforme *,Adresse,Complément,Code postal *,Commune *,Latitude,Longitude,Téléphone *,Téléphone 2,Nombre de chambres ou emplacements *,Capacité (Nombre de personnes) *,Site Web,Descriptif,Remarques
,,,,,,,,https://www.airbnb.fr/users/show/656106175,,,Guadeloupe,,,,Bungalow Balisier: Tropical chic,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1332901424853898414?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3D2oUWdo1SvxfCq&previous_page_section_name=1000,Bungalow Balisier: Tropical chic,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/181849482,,,Guadeloupe,,,,PIERRETTE,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/24136985?search_mode=regular_search&adults=1&check_in=2025-02-24&check_out=2025-03-01&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3zdIvFumdGRRWq1&previous_page_section_name=1000,PIERRETTE,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/516373199,,,Guadeloupe,,,,Villa des Ixoras classée 4* * * *,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/922766571130172047?search_mode=regular_search&adults=1&check_in=2025-03-05&check_out=2025-03-10&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3O11CpffeN2YLtJ&previous_page_section_name=1000,Villa des Ixoras classée 4* * * *,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/533983196,,,Guadeloupe,,,,Tuwana,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/966575513072261839?search_mode=regular_search&adults=1&check_in=2025-04-26&check_out=2025-05-01&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3XAa08lvON0AX6u&previous_page_section_name=1000,Tuwana,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/73390770,,,Guadeloupe,,,,Bungalow au Lamentin avec piscine,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/708731698320975118?search_mode=regular_search&adults=1&check_in=2025-02-21&check_out=2025-02-26&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3rkchlO3bu6o19a&previous_page_section_name=1000,Bungalow au Lamentin avec piscine,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/50668582,,,Guadeloupe,,,,Paisible maisonnette avec piscine privée,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/9839813?search_mode=regular_search&adults=1&check_in=2025-05-12&check_out=2025-05-17&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3_Fnw40XBCToSgx&previous_page_section_name=1000,Paisible maisonnette avec piscine privée,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/123500043,,,Guadeloupe,,,,Ashram Cristal Clair appart neuf 2ch Baie Mahault,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1353117980579040697?search_mode=regular_search&adults=1&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3sI3Hvj4Eg60Q1y&previous_page_section_name=1000,Ashram Cristal Clair appart neuf 2ch Baie Mahault,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/285072720,,,Guadeloupe,,,,Gîte de la Traversée au calme à la montagne.,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1290065778871627105?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3soh2V7nM0fcKtz&previous_page_section_name=1000,Gîte de la Traversée au calme à la montagne.,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/278262963,,,Guadeloupe,,,,T2 DE CHARME  LA PERDRIX,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/41405503?search_mode=regular_search&adults=1&check_in=2025-02-24&check_out=2025-03-01&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3RTSZIDPssGv93F&previous_page_section_name=1000,T2 DE CHARME  LA PERDRIX,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/35820995,,,Guadeloupe,,,,Superbe villa à BAIE MAHAULT,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/6836397?search_mode=regular_search&adults=1&check_in=2025-07-26&check_out=2025-08-02&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3AQAhoI6G6cQqvY&previous_page_section_name=1000,Superbe villa à BAIE MAHAULT,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/327642546,,,Guadeloupe,,,,Les jardins d'Ida- studio  idéalement situé,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/50523485?search_mode=regular_search&adults=1&check_in=2025-03-11&check_out=2025-03-16&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3TGSIbbi5yIPIxs&previous_page_section_name=1000,Les jardins d'Ida- studio  idéalement situé,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/508113727,,,Guadeloupe,,,,Maison créole calme et paisible,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1035403194812093657?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739908588_P3LWIZI8OXgXQVVt&previous_page_section_name=1000,Maison créole calme et paisible,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/302888826,,,Guadeloupe,,,,"Villa Bismarkia T3, Piscine, Lamentin",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1341967058101679767?search_mode=regular_search&adults=1&check_in=2025-03-01&check_out=2025-03-06&children=0&infants=0&pets=0&source_impression_id=p3_1739908588_P3hhqBUtJsbfxASF&previous_page_section_name=1000,"Villa Bismarkia T3, Piscine, Lamentin",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/106123601,,,Guadeloupe,,,,Très beau logement spacieux avec toutes commodités,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/16236216?search_mode=regular_search&adults=1&check_in=2025-02-26&check_out=2025-03-03&children=0&infants=0&pets=0&source_impression_id=p3_1739908588_P3wDQlCr8GgK3E66&previous_page_section_name=1000,Très beau logement spacieux avec toutes commodités,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/11808708,,,Guadeloupe,,,,"Jungle kaz, piscine privative",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/998607627303902606?search_mode=regular_search&adults=1&check_in=2025-06-21&check_out=2025-06-26&children=0&infants=0&pets=0&source_impression_id=p3_1739908588_P3W8KpR36qkIpBmL&previous_page_section_name=1000,"Jungle kaz, piscine privative",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/432115128,,,Guadeloupe,,,,Maison à Lamentin,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1334612400770559255?search_mode=regular_search&adults=1&check_in=2025-02-22&check_out=2025-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1739908588_P3x4m0kehjPcBM3-&previous_page_section_name=1000,Maison à Lamentin,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/140564990,,,Guadeloupe,,,,Charmante Villa tropicale,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/851295550471211390?search_mode=regular_search&adults=1&check_in=2025-02-25&check_out=2025-03-02&children=0&infants=0&pets=0&source_impression_id=p3_1739908588_P3QnZK_fPJWuF5GT&previous_page_section_name=1000,Charmante Villa tropicale,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/219074624,,,Guadeloupe,,,,Villa Caillou,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/29073564?search_mode=regular_search&adults=1&check_in=2025-02-23&check_out=2025-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1739908588_P3ACfqpAxc5ZRQWr&previous_page_section_name=1000,Villa Caillou,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/657102564,,,Guadeloupe,,,,"Villa 3ch, piscine, spa et sauna",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1267391017001630099?search_mode=regular_search&adults=1&check_in=2025-03-01&check_out=2025-03-06&children=0&infants=0&pets=0&source_impression_id=p3_1739908591_P3vVEl2VMckVCJYu&previous_page_section_name=1000,"Villa 3ch, piscine, spa et sauna",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/539982199,,,Guadeloupe,,,,Pura vida lodge cabane perchée,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/993373678112130880?search_mode=regular_search&adults=1&check_in=2025-04-13&check_out=2025-04-18&children=0&infants=0&pets=0&source_impression_id=p3_1739908591_P3HzSv1DJ5BlbUct&previous_page_section_name=1000,Pura vida lodge cabane perchée,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/156952704,,,Guadeloupe,,,,"L'Aurore,  bas de villa F4 avec piscine et jardin",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/21581826?search_mode=regular_search&adults=1&check_in=2025-04-13&check_out=2025-04-18&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3GXQJUmp-B9yEsE&previous_page_section_name=1000,"L'Aurore,  bas de villa F4 avec piscine et jardin",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/591108152,,,Guadeloupe,,,,Villa Siwo,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1205418916448283502?search_mode=regular_search&adults=1&check_in=2025-03-11&check_out=2025-03-16&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3MEwjI3aKgZLEAR&previous_page_section_name=1000,Villa Siwo,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/434210190,,,Guadeloupe,,,,"Osmose

 parfaite entre la nature et l homme",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/53619024?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-01&check_out=2025-03-06&children=0&infants=0&pets=0&photo_id=1778427252&source_impression_id=p3_1739908638_P3lkuX5DRFXc19I3&previous_page_section_name=1000,"Osmose

 parfaite entre la nature et l homme",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/501112679,,,Guadeloupe,,,,"Grand T2, Duzer Sainte-Rose",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/896293779636697988?search_mode=regular_search&adults=1&check_in=2025-02-22&check_out=2025-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3tGlD84a7aTrxiW&previous_page_section_name=1000,"Grand T2, Duzer Sainte-Rose",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/56597471,,,Guadeloupe,,,,Bas de villa T2,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/10935147?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739908638_P3ZVHpsToGRn9IS3&previous_page_section_name=1000,Bas de villa T2,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/547952913,,,Guadeloupe,,,,Couleur Kréol,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1029095139053534073?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-04-01&check_out=2025-04-06&children=0&infants=0&pets=0&photo_id=2065109107&source_impression_id=p3_1739908641_P3Av6_7u-7i6My7v&previous_page_section_name=1000,Couleur Kréol,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/671419489,,,Guadeloupe,,,,Haut de villa La Fleur de Canne,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1328985243413329105?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3O0X1qHkxYiV91e&previous_page_section_name=1000,Haut de villa La Fleur de Canne,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/186827762,,,Guadeloupe,,,,T2 Baie Mahault Convenance,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1001434681234506693?search_mode=regular_search&adults=1&check_in=2025-04-28&check_out=2025-05-03&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3VoTyO5Nw51eC3c&previous_page_section_name=1000,T2 Baie Mahault Convenance,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/13330908,,,Guadeloupe,,,,Chambre climatisée indépendante proche de Jarry,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/40469021?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-03-16&check_out=2025-03-21&children=0&infants=0&pets=0&photo_id=1757074702&source_impression_id=p3_1739908641_P3LPYKb0w5EMYJgh&previous_page_section_name=1000,Chambre climatisée indépendante proche de Jarry,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/468834713,,,Guadeloupe,,,,145 m² I Piscine I Spa I Jardin I Vue Panoramique,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/668585359745645022?search_mode=regular_search&adults=1&check_in=2025-03-04&check_out=2025-03-09&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3TQSFNKGfhgpjws&previous_page_section_name=1000,145 m² I Piscine I Spa I Jardin I Vue Panoramique,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/859455,,,Guadeloupe,,,,La Source Ecolodge,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1061608994364514486?search_mode=regular_search&adults=1&check_in=2025-04-07&check_out=2025-04-12&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3FDez8M-B9Q4Q3t&previous_page_section_name=1000,La Source Ecolodge,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/550554889,,,Guadeloupe,,,,Bungalow Pause Bonheur,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1044343672576986652?search_mode=regular_search&adults=1&check_in=2025-03-02&check_out=2025-03-07&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3McHLmC_QKFSOwN&previous_page_section_name=1000,Bungalow Pause Bonheur,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/136548980,,,Guadeloupe,,,,"-40 % dès 2 nuits en février !"" Lodge Sopraia",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/840694050679583042?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3M7fyeh2_emK9Zi&previous_page_section_name=1000,"-40 % dès 2 nuits en février !"" Lodge Sopraia",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/345712660,,,Guadeloupe,,,,Bungalow belle escapade !,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/684974479954897190?search_mode=regular_search&adults=1&check_in=2025-02-18&check_out=2025-02-23&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P38mAmUPq1yy_5B5&previous_page_section_name=1000,Bungalow belle escapade !,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/276644217,,,Guadeloupe,,,,Villa Canyon aux Bambous,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/36805009?search_mode=regular_search&adults=1&check_in=2025-04-02&check_out=2025-04-07&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3tR84sQxOL6rELw&previous_page_section_name=1000,Villa Canyon aux Bambous,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/227355626,,,Guadeloupe,,,,"Ô Fil de l'Eau, gîte Ô Cœur Soleil, piscine nature",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1023268401384376090?search_mode=regular_search&adults=1&check_in=2025-03-06&check_out=2025-03-11&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3T83cOnXZBBHCQK&previous_page_section_name=1000,"Ô Fil de l'Eau, gîte Ô Cœur Soleil, piscine nature",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/114356944,,,Guadeloupe,,,,Agréable bungalow à l'ombre d un manguier,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/558696845761632079?search_mode=regular_search&adults=1&check_in=2025-03-09&check_out=2025-03-14&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P30tJwNiK73VcRGH&previous_page_section_name=1000,Agréable bungalow à l'ombre d un manguier,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/573649702,,,Guadeloupe,,,,"Case créole, jardin et vue mer",,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/1140546291037034862?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3P08GAcrr2i29fJ&previous_page_section_name=1000,"Case créole, jardin et vue mer",Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/516202975,,,Guadeloupe,,,,Villa corail,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/912146205600190718?search_mode=regular_search&adults=1&check_in=2025-02-21&check_out=2025-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3nXHtWiR66Tydsn&previous_page_section_name=1000,Villa corail,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/475771146,,,Guadeloupe,,,,Location saisonnière appart. T2,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/955217057715461142?search_mode=regular_search&adults=1&check_in=2025-02-26&check_out=2025-03-03&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P3Qz1nQ4tAvA0-Pk&previous_page_section_name=1000,Location saisonnière appart. T2,Airbnb
,,,,,,,,https://www.airbnb.fr/users/show/504629381,,,Guadeloupe,,,,Paradis Lara,,,,,,,,,,,Lamentin,,,,,,,https://www.airbnb.fr/rooms/843496444084201045?search_mode=regular_search&adults=1&check_in=2025-02-19&check_out=2025-02-24&children=0&infants=0&pets=0&source_impression_id=p3_1739908641_P34-5qQkGnYOAhDh&previous_page_section_name=1000,Paradis Lara,Airbnb
,Votre hôte Pascal,,,,,,,Votre hôte Pascal,,,Guadeloupe,,,,Bungalow Bambou,,Maison de Vacances,,,,,,"Chemin de Grande Savane, 97170 Petit-Bourg, GuadeloupeExcellente situation géographique — avec une note de 9.6/10!(note basée sur 23 commentaires)Évaluée par les clients après leur séjour à l'établissement Bungalow Bambou.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/bungalow-bambou.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from=searchresults,Bungalow Bambou,Booking
,Votre hôte Davy,,,,,,,Votre hôte Davy,,,Guadeloupe,,,,les orchidées,,Appartement 2 Chambres,,,,,,"Chemin de Montebello 6 lts les orchidées, 97170 Petit-Bourg, GuadeloupeExcellente situation géographique — avec une note de 9.4/10!(note basée sur 27 commentaires)Évaluée par les clients après leur séjour à l'établissement les orchidées.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/les-orchidees-petit-bourg.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from=searchresults,les orchidées,Booking
,Votre hôte Chantal,,,,,,,Votre hôte Chantal,,,Guadeloupe,,,,chantal EMERANCIENNE,,Chambre Double,,,,,,"La Grippière Petit-Bourg, 97170 Petit-Bourg, GuadeloupeUne fois votre réservation effectuée, toutes les informations sur l'établissement, y compris le numéro de téléphone et l'adresse, seront disponibles sur votre confirmation de réservation ainsi que dans votre compte.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/chantal-emerancienne.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from=searchresults,chantal EMERANCIENNE,Booking
,Votre hôte arlette,,,,,,,Votre hôte arlette,,,Guadeloupe,,,,chez arlette,,Maison 1 Chambre,,,,,,"6 Impasse Guillaume Nebor barboteau, 97170 Petit-Bourg, GuadeloupeExcellente situation géographique — avec une note de 9.2/10!(note basée sur 28 commentaires)Évaluée par les clients après leur séjour à l'établissement chez arlette.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/chez-arlette.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from=searchresults,chez arlette,Booking
,Informations sur l'hôte,,,,,,,Informations sur l'hôte,,,Guadeloupe,,,,Bellevue Gites,,Bungalow - Vue sur Mer ,,,,,,"18 rue des Bougainvillers, 97170 Petit-Bourg, GuadeloupeExcellente situation géographique — avec une note de 9.7/10!(note basée sur 40 commentaires)Évaluée par les clients après leur séjour à l'établissement Bellevue Gites.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/bellevue-gites.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from_sustainable_property_sr=1&from=searchresults,Bellevue Gites,Booking
,Gérée par Emmanuel ROCHE,,,,,,,Gérée par Emmanuel ROCHE,,,Guadeloupe,,,,Habitation Villa Les Cassias,,Bungalow Deluxe - Vue sur Jardin,,,,,,"1474 Chemin de Vernou - 97170 PETIT BOURG, 97170 Petit-Bourg, GuadeloupeUne fois votre réservation effectuée, toutes les informations sur l'établissement, y compris le numéro de téléphone et l'adresse, seront disponibles sur votre confirmation de réservation ainsi que dans votre compte.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/habitation-villa-les-cassias.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from=searchresults,Habitation Villa Les Cassias,Booking
,Votre hôte Joanna,,,,,,,Votre hôte Joanna,,,Guadeloupe,,,,An'Kanna,,Maison 2 Chambres,,,,,,"3 Allée Printania, 97170 Petit-Bourg, GuadeloupeUne fois votre réservation effectuée, toutes les informations sur l'établissement, y compris le numéro de téléphone et l'adresse, seront disponibles sur votre confirmation de réservation ainsi que dans votre compte.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/location-meublee-ideale-pour-votre-sejour.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from=searchresults,An'Kanna,Booking
,Gérée par Joel joka,,,,,,,Gérée par Joel joka,,,Guadeloupe,,,,Petit F2 entièrement rénové équipé en énergie solaire et citerne d eau,,Appartement 1 Chambre,,,,,,"418 Chemin de Duquerry, 97170 Petit-Bourg, GuadeloupeUne fois votre réservation effectuée, toutes les informations sur l'établissement, y compris le numéro de téléphone et l'adresse, seront disponibles sur votre confirmation de réservation ainsi que dans votre compte.",,,Petit-Bourg,,,,,,,https://www.booking.com/hotel/gp/petit-f2-independant-sur-un-site-commun.fr.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF9wZXRpdH5ib3VyZy0tYmFzc2V-dGVycmUtLWd1YWRlbG91cGVIM1gEaFqIAQGYAQ24ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArPo070GwAIB0gIkYTExYWViZDAtYWQ4ZS00Y2IzLWIyOTQtOTA0Y2EwNjY4NDFm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a8c89359759f029b&srepoch=1739912250&from=searchresults,Petit F2 entièrement rénové équipé en énergie solaire et citerne d eau,Booking
